# Time-averaged data for fix 4
# TimeStep c_msdData1[1] c_msdData1[2] c_msdData1[3] c_msdData1[4]
0 0 0 0 0
8000 0.035478 0.0246958 0.0150966 0.0752703
16000 1.17798e-05 0.016117 0.123649 0.139778
24000 0.0284901 0.0533089 0.00329004 0.0850891
32000 0.0364946 0.00240291 0.000307692 0.0392052
40000 0.0273329 0.00144744 0.00628202 0.0350623
48000 0.00219782 0.00756391 0.000320567 0.0100823
56000 0.124642 0.00136785 0.00117836 0.127188
64000 0.10793 0.0333298 0.0917673 0.233027
72000 0.0504673 0.00985956 0.000887592 0.0612144
80000 0.00169683 0.0283756 0.00741581 0.0374882
88000 0.0476325 0.000976598 0.0652701 0.113879
96000 0.00865907 0.00728638 0.000280962 0.0162264
104000 0.0211179 0.0202891 0.00553242 0.0469395
112000 0.00412845 0.000721677 0.0180217 0.0228719
120000 0.0459643 0.00156262 0.00153106 0.049058
128000 0.0567281 0.024624 0.00928107 0.0906332
136000 0.00881941 0.0021705 0.000741216 0.0117311
144000 0.0172223 0.00477468 6.90782e-05 0.0220661
152000 0.00020173 1.01417e-05 0.0181688 0.0183807
160000 0.000583214 0.000111062 0.00352715 0.00422143
168000 0.00635852 0.000919054 0.00343213 0.0107097
176000 0.000125732 0.0266524 0.00193908 0.0287172
184000 0.000277166 0.00208852 0.0308859 0.0332516
192000 0.040715 0.0237663 0.00195803 0.0664393
200000 0.00965545 0.00347507 0.00254783 0.0156783
208000 0.0169131 0.000398197 0.00591403 0.0232253
216000 0.0256581 0.0059576 0.00149649 0.0331122
224000 0.0306708 0.0138735 0.063697 0.108241
232000 0.0641264 1.73554e-05 0.155503 0.219647
240000 0.0285704 0.0390579 0.403336 0.470964
248000 0.0399664 0.419174 0.132925 0.592066
256000 0.0232554 0.196486 0.087219 0.306961
264000 0.0310128 0.162557 0.103986 0.297556
272000 0.00443571 0.262976 0.518382 0.785794
280000 0.0242791 0.204499 0.353829 0.582607
288000 0.140018 0.945128 0.330196 1.41534
296000 0.00237817 2.18821 3.15231 5.3429
304000 0.0100354 2.33159 2.81949 5.16112
312000 0.0529489 2.74797 2.88515 5.68606
320000 0.0958949 1.97766 2.92718 5.00074
328000 0.00322399 2.69424 3.7435 6.44097
336000 0.00924069 2.7443 3.75748 6.51102
344000 0.0306148 2.47253 3.49354 5.99668
352000 0.0608024 2.05575 2.68161 4.79816
360000 0.0316876 2.05552 3.47256 5.55977
368000 0.00488769 2.31005 3.40802 5.72296
376000 0.091761 1.86025 3.08865 5.04066
384000 0.00342012 1.94192 3.57878 5.52412
392000 0.00801972 2.80229 3.55256 6.36288
400000 0.00171291 2.06366 3.1677 5.23307
408000 0.0852498 2.20536 3.72641 6.01703
416000 0.0497609 2.48185 3.7954 6.32701
424000 0.000258632 1.9543 2.94518 4.89974
432000 0.0060465 2.26132 3.94895 6.21632
440000 0.0542628 1.86936 2.71911 4.64273
448000 0.000537875 2.93496 3.38141 6.31691
456000 0.00619632 2.77203 3.75814 6.53636
464000 0.0057527 2.16489 3.07047 5.24111
472000 0.0169378 2.56016 2.87974 5.45684
480000 0.0692512 1.80724 4.66985 6.54635
488000 0.0196755 3.01589 3.32738 6.36295
